"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Маршруты","Выбор маршрутов","0","0","1","0","0"
"","Микросервисы","Запуск сервиса","0","0","6","0","0"
"","Микросервисы","Остановка сервиса","0","0","6","0","0"
"","Группы LDAP","Выгрузка группы LDAP","0","1","0","0","0"
"","Типы публикаций","Создание/Удаление типа публикации","0","0","1","0","0"
"","Маршруты","Создание/Удаление маршрута публикации","0","0","1","0","0"
"","Типы публикаций","Создание/Редактирование/Удаление типа публикации","0","0","1","0","0"
"","Разрешённые адреса","Создание/Удаление разрешённого адреса","0","0","5","0","0"
"","Маршруты","Создание/Редактирование/Удаление маршрута публикации","0","0","1","0","0"
"","Места публикации","Создание/Редактирование/Удаление места публикации","0","0","1","0","0"
"","Локальные пользователи","Создание\Редактирование\Удаление локального пользователя","0","0","1","0","0"
"","Локальные пользователи","Создание\Удаление локального пользователя","0","0","1","0","0"
